name,form
Asset-backed securitizer report pursuant to Section 15G,ABS-15G
Asset-Backed Electronic Exhibits,ABS-EE
Periodic reports filed by the Asian Development Bank,ADB
Additional or Detached Materials for which no Rule or Regulation applies or No Specific Form is Prescribed,ADN-MTL
Registration of Investment Advisor,ADV
Certificate of Accounting of Client Securities and Funds in Possession or Custody of an Investment Advisor,ADV-E
Application for Continuing Hardship Exemption,ADV-H-C
Application for Temporary Hardship Exemption,ADV-H-T
Appointment of Agent for Service of Process by Non-Resident General Partner and Non-Resident managing agent of an Investment Advisor,ADV-NR
Cancellation of registered advisers by commission order,ADVCO
Notice of withdrawal from Registration as Investment Advisor,ADVW
African Development Bank,AFDB
"Periodic Development Bank filing, submitted annually",ANNLRPT
40-APP Notice,APP NTC
40-APP Order,APP ORDR
Withdrawal of an Application for exemption [Section 12(g)] or from filing certain reports [Section 13(a)],APP WD
*,APP WDG
Annual Report to Security Holders,ARS
Initial Form ATS-N (Rule 304(a)(1)(i)),ATS-N
Order of Ineffective Initial Form ATS-N (Rule 304(a)(1)(iii)(B)),ATS-N ORDR INEFF
Order of Limitation of the Exemption from the Definition of Exchange (Rule 304(a)(4)(i)),ATS-N ORDR LTD OPN
Order of Revocation of the Exemption from the Definition of Exchange (Rule 304(a)(4)(i)),ATS-N ORDR REVK
Order of Suspension of the Exemption from the Definition of Exchange (Rule 304(a)(4)(i)),ATS-N ORDR SUSP
Notice of Cessation of Operations of NMS Stock ATS (Rule 304(a)(3)),ATS-N-C
Withdrawal of Form ATS-N Filing (Form ATS-N Instruction No. 9),ATS-N-W
Order of Ineffective Form ATS-N Amendment (Rule 304(a)(2)(ii)),ATS-N/A ORDR INEFF
Correcting Amendment to Form ATS-N (Rule 304(a)(2)(i)(C)),ATS-N/CA
Material Amendment to Form ATS-N (Rule 304(a)(2)(i)(A)),ATS-N/MA
Cover Page of an Material Amendment to Form ATS-N (Rule 304(b)(2)(iii)(A)),ATS-N/MA CP
Order Display and Fair Access Amendment to Form ATS-N (Rule 304(a)(2)(i)(D)),ATS-N/OFA
Updating Amendment to Form ATS-N (Rule 304(a)(2)(i) (B)),ATS-N/UA
Amendment Withdrawal Request,AW
Amendment Withdrawal (Withdrawal Duplicate) Requests,AW WD
Cancellation of Registered Brokers or Dealers by Commission Order,BDCO
"Periodic World Bank filing, submitted quarterly",BW-2
Transactional World Bank filing,BW-3
Offering Statement,C
Annual Report,C-AR
Annual Report Withdrawal,C-AR-W
Annual Report Withdrawal,C-AR/A-W
Termination of Reporting,C-TR
Termination of Reporting Withdrawal,C-TR-W
Progress Update,C-U
Progress Update Withdrawal,C-U-W
Offering Statement Withdrawal,C-W
Offering Statement Withdrawal,C/A-W
Registration as a Clearing Agency,CA-1
Tender Offer/Rights Offering Notification Form,CB
*,CERT
Certification by the American Stock Exchange approving securities for listing,CERTAMX
Certification by the New York Stock Exchange Archipelago approving securities for listing,CERTARCA
*,CERTBATS
Certification by the Boston Stock Exchange approving securities for listing,CERTBSE
Certification by the Chicago Board of Options approving securities for listing,CERTCBO
Certification by the Cincinnati Stock Exchange approving securities for listing,CERTCIN
"Certification by the Central Stock Exchange, formerly Midwest Stock Exchange, to approve listing of securities",CERTCSE
Certification by the International Stock Exchange approving securities for listing,CERTISE
Certification by the Nasdaq Stock Market approving securities for listing,CERTNAS
Certification by the New York Stock Exchange approving securities for listing,CERTNYS
Certification by the Pacific Coast Stock Exchange approving securities for listing,CERTPAC
Certification by the Philadelphia Stock Exchange approving securities for listing,CERTPBS
*,CFPORTAL
*,CFPORTAL-W
Correspondence,CORRESP
Confidential treatment order,CT ORDER
Notice of Exempt Offering of Securities,D
Other definitive proxy statements,DEF 14A
Other definitive information statements,DEF 14C
Definitive offering circular (Regulation A),DEF-OC
Schedule filed as definitive materials.,DEF13E3
Additional definitive proxy soliciting materials and Rule 14(a)(12) material,DEFA14A
"Additional information statement materials, definitive",DEFA14C
"Definitive proxy statement, contested solicitations",DEFC14A
"Definitive information statement, contested solicitations",DEFC14C
Definitive proxy statement relating to merger or acquisition,DEFM14A
Definitive information statement relating to merger or acquisition,DEFM14C
Definitive proxy statement filed by non-management,DEFN14A
Revised definitive proxy soliciting materials,DEFR14A
"Revised information statement materials, definitive",DEFR14C
Definitive proxy statement for special meeting,DEFS14A
Definitive information statement for special meeting,DEFS14C
Delaying amendment,DEL AM
Additional definitive proxy soliciting materials filed by non-management and Rule 14(a)(12) material,DFAN14A
Revised definitive proxy statement filed by non-management,DFRN14A
*,DOS
*,DOSLTR
Draft Registration Statement,DRS
Correspondence Related to Draft Registration Statement,DRSLTR
Distribution of primary obligations Development Bank report,DSTRBRPT
European Bank for Reruction and Development,EBRD
Notice of Effectiveness,EFFECT
Registration statement for certain foreign private issuers,F-1
Registration Statement for Securities of certain Canadian Issuers.,F-10
"Registration Statement for Securities of certain Canadian Issuers, immediately effective.",F-10EF
Registration statement to add securities to prior Form F-10 registration [Rule 462(b)],F-10MEF
Post-effective amendment to a F-10EF registration,F-10POS
Registration statement to add securities to prior Form F-1 registration [Rule 462(b)],F-1MEF
Registration statement for certain foreign private issuers,F-2
"Registration of securities, dividend or interest re-investment plans",F-2D
"Registration of securities, dividend or interest re-investment plans, post-effective amendments",F-2DPOS
Registration statement to add securities to Form F-2 registration [Rule 462(b)],F-2MEF
Registration statement by foreign private issuers,F-3
Automatic shelf registration statement of securities of well-known seasoned issuers,F-3ASR
Registration of securities pursuant to dividend or interest reinvestment plans,F-3D
"Registration of securities pursuant to dividend or interest reinvestment plans, post-effective amendments",F-3DPOS
Registration statement to add securities to prior Form F-3 registration [Rule 462(b)],F-3MEF
"Registration of securities, foreign private issuers, business combinations",F-4
"Registration of securities, foreign private issuers, business combinations, post effective",F-4 POS
"Registration of securities, foreign private issuers, business combinations, immediately effective.",F-4EF
Registration statement to add securities to prior Form F-4 registration [Rule 462(b)],F-4MEF
"Registration of American Depository Receipt shares, not immediately effective",F-6
Post-effective amendments for immediately effective filing,F-6 POS
"Registration of American Depository Receipt shares, immediately effective",F-6EF
Registration statement for securities of certain Canadian issuers offered for cash upon the exercise of rights granted to existing security holders,F-7
Post-effective amendment to a F-7 registration,F-7 POS
Registration statement for securities of certain Canadian issuers to be issued in exchange offers or a business combination,F-8
"Registration statement for securities of certain Canadian issuers, post effective",F-8 POS
Registration of securities of certain Canadian Issuers in exchange offers or a business combination.,F-80
Post-effective amendment to a F-80 registration,F-80POS
Registration of securities of certain investment grade debt of preferred securities of certain Canadian issuers.,F-9
Post-effective amendment to a F-9EF registration,F-9 POS
"Registration of securities of certain investment grade debt of preferred securities of certain Canadian issuers, immediately effective.",F-9EF
Registration statement to add securities to prior Form F-9 registration [Rule 462(b)],F-9MEF
Designates a U.S. agent for service of process by foreign banks and foreign insurance companies,F-N
Appointment of Agent for Service of Process and Undertaking,F-X
Non-public annual audit reports filed by brokers or dealers,FOCUSN
Filing under Securities Act Rules 163/433 of free writing prospectuses,FWP
Report on Financial Operations - aka FOGS Report,G-405
*,G-405N
notification by financial institutions of status,G-FIN
Notice of withdrawal from government securities broker or dealer by financial institutions,G-FINW
Captures Historical File Numbers assigned to issuers or applicants prior to the recording of information on the Automated Workload Filings System,HISTORY
Inter-American Development Bank,IADB
International Bank for Reruction and Development,IBRD
New Form ID Submission,ID-NEWCIK
Periodic Reports filed by the International Finance Corporation,IFC
Notice of disclosure filed pursuant to Section 219 of the Iran Threat Reduction and Syria Human Rights Act of 2012 (Exchange Act Section 13(r)).,IRANNOTICE
Municipal Advisor Registration for Business Entities,MA
Annual Update of Municipal Advisor Registration for Business Entities,MA-A
Application for Municipal Advisor Registration for Natural Persons,MA-I
Notice of Withdrawal from Registration as a Municipal Advisor,MA-W
Registration of Municipal Securities Dealer,MSD
Cancellation of Registered Municipal Securities Dealers by Commission Order,MSDCO
Notice of Withdrawal from Registration as a Municipal Securities Dealer [Rule 15Bc3-1],MSDW
Registration for open-end management investment companies,N-1
Registration statement for open-end investment company (business combinations),N-14
Registration statement for closed-end investment company (business combinations),N-14 8C
Registration statement for open-end investment company (business combinations) [Rule 488],N-14AE
Registration of additional securities for a Form N-14 offering [Rule 462(b)],N-14MEF
Notification of election [Rule 18f-1],N-18F1
Registration statement for open-end management investment companies,N-1A
Registration statements of open end management investment companies,N-1A EL
Registration statement for closed-end investment companies,N-2
*,N-2 POSASR
Reports by closed-end investment companies of purchase of their own securities,N-23C-1
Notice by closed-end investment companies of intent to purchase their own securities,N-23C-2
Notification of periodic repurchase offer [Rule 23c-3(b) only],N-23C3A
Notification of periodic repurchase offer [Rule 23c-3(c) only],N-23C3B
Notification of periodic repurchase offer [Rule 23c-3(b) and (c)],N-23C3C
Accounting for segregated trust accounts,N-27D-1
*,N-2ASR
Registration of additional securities for a Form N-2 offering [Rule 462(b)],N-2MEF
Registration statement for separate accounts (management investment companies),N-3
Registration statements for separate accounts (management investment companies),N-3 EL
Periodic and interim reports mailed to shareholders,N-30B-2
Annual and semi-annual reports mailed to shareholders [Rule 30d-1],N-30D
Registration statement for separate accounts (unit investment trusts),N-4
Registration statements for separate accounts (unit investment trusts),N-4 EL
Registration statement for small business investment companies,N-5
Notification of election by business development companies,N-54A
Notification of withdrawal by business development companies,N-54C
Registration statement for separate accounts (unit investment trusts),N-6
Exemptions for Foreign Banks,N-6C9
Notice of intent by business development companies to be subject to Sections 55 through 65,N-6F
Notification of registration [Section 8(a)],N-8A
Registration statement for unit investment trusts,N-8B-2
Registration statement for periodic payment Plans,N-8B-3
Registration statement for face-amount certificate companies,N-8B-4
Application for Deregistration,N-8F
N-8F Notice,N-8F NTC
N-8F Order,N-8F ORDR
Annual Report for Registered Investment Companies,N-CEN
*,N-CR
Certified Shareholder Report,N-CSR
"Certified Shareholder Report, Semi-Annual",N-CSRS
Monthly Schedule Of Portfolio Holdings Of Money Market Funds,N-MFP
Monthly portfolio holdings schedule,N-MFP1
Monthly portfolio holdings schedule,N-MFP2
Annual Report of proxy voting record of management investment companies,N-PX
Quarterly Schedule of portfolio holdings of management investment companies,N-Q
Notice documents for certain variable contracts,N-VP
Financial statements for certain variable contracts,N-VPFS
Registration statements of open end investment companies (business combinations),N14AE24
Registration statements of open end investment companies (business combinations),N14EL24
No Action Letter,NO ACT
Portfolio Holdings Exhibit to Form N-PORT,NPORT-EX
NPORT-NP: Monthly Portfolio Investments Report on Form N-PORT (Non-Public),NPORT-NP
Monthly Portfolio Investments Report on Form N-PORT (Public),NPORT-P
*,NRSRO-CE
*,NRSRO-UPD
Semi-annual report for management companies,NSAR-A
Transitional semi-annual report,NSAR-AT
Annual report for management companies,NSAR-B
Transitional annual report for management companies,NSAR-BT
Annual report for unit investment trusts,NSAR-U
Notification of inability to timely file Form 10-D,NT 10-D
"Notification of inability to timely file Form 10-K 405, 10-K, 10-KSB 405, 10-KSB, 10-KT, or 10-KT405",NT 10-K
Notification of inability to timely file Form 10-Q or 10-QSB,NT 10-Q
Notification of inability to timely file Form 11-K,NT 11-K
Notification of inability to timely file special report [Section 15d-2],NT 15D2
Notification of inability to timely file Form 20-F,NT 20-F
EDGAR generated form type for late filing of Annual Report for Registered Investment Companies,NT N-CEN
Notification of late filings of form N-MFP,NT N-MFP
*,NT N-MFP1
*,NT N-MFP2
EDGAR generated form type for a late filing of a Portfolio holdings exhibit,NT NPORT-EX
EDGAR generated form type for a late filing of a Monthly Portfolio Investments Report on Form N-PORT (Non-Public),NT NPORT-N
EDGAR generated form type for a late filing of a Monthly Portfolio Investments Report on Form N-PORT (Public),NT NPORT-P
Notice under Exchange Act Rule 12b-25 of inability to timely file Form N-CEN,NT-NCEN
Notice under Exchange Act Rule 12b-25 of inability to timely file Form N-CSR (annual or semi-annual report),NT-NCSR
Notification of inability to timely file Form N-SAR,NT-NSAR
EDGAR generated form type for late filing of notice under Exchange Act Rule 12b-25 of inability to timely file Form N-CEN,NTFNCEN
Notification of late filings of form N-CSR,NTFNCSR
Notices of Late Filings of Form N-SAR,NTFNSAR
Notices of Late Filings of Form 10-D,NTN 10-D
Notification of late filings of form 10-D,NTN 10D
Notices of Late Filings of Form 10-K or 10-KSB,NTN 10K
Notices of Late Filings of Form 10-Q or 10-QSB,NTN 10Q
Notices of Late Filings of Form 11-K,NTN 11K
Notices of Late Filings of Form 20-F,NTN 20F
Notices of Late Filings of Special Financial Reports,NTN15D2
Offering Circular [Regulation A],OC
40-OIP Notice,OIP NTC
40-OIP Order,OIP ORDR
Post-effective amendments filed by certain investment companies [Section 8(c)],POS 8C
Post-Effective amendments for registration statement,POS AM
Pre-effective amendments for application or declaration,POS AMC
Amendments to 40 Act only filings,POS AMI
Post-effective amendment adding exhibits to registration statement [Rule 462(d)],POS EX
Post-effective amendment to registration statement [Rule 462(b)],POS462B
Post-effective amendment to registration statement [Rule 462(c)],POS462C
Post-effective Amendment to an automatic shelf registration statement,POSASR
Other preliminary proxy statements,PRE 14A
Other preliminary information statements,PRE 14C
Initial statement - preliminary form.,PRE13E3
Additional Preliminary Proxy Solicitation Material,PREA14A
Additional Preliminary Proxy Information Statements,PREA14C
"Preliminary proxy statements, contested solicitations",PREC14A
"Preliminary information statements, contested solicitations",PREC14C
Preliminary proxy statements relating to merger or acquisition,PREM14A
Preliminary information statements relating to merger or acquisition,PREM14C
Non-management preliminary proxy statements,PREN14A
Preliminary Proxy Soliciting materials,PRER14A
Information statements,PRER14C
"Preliminary proxy statements, special meeting",PRES14A
"Preliminary information statements, special meeting",PRES14C
"Non-management revised preliminary proxy soliciting materials, contested and otherwise",PRRN14A
Power of Attorney,PWR-ATT
Notice of exempt solicitation submitted by non-management,PX14A6G
Notice of exempt solicitation submitted by non-management,PX14A6N
"Periodic Development Bank filing, submitted quarterly",QRTLYRPT
Notice of Qualification [Regulation A],QUALIF
"Initial undertaking of records for non-resident brokers, dealers and investment advisers",REG-NR
Notice of Sale of Securities [Regulation D and Section 4(6) of the Securities Act of 1933],REGDEX
Commission order revoking Exchange Act registration [Section 12(j)],REVOKED
Registration Withdrawal Request,RW
Withdrawal of Registration Withdrawal Request,RW WD
General form for registration of securities under the Securities Act of 1933,S-1
Registration of securities issued by real estate companies,S-11
Registration adding securities to prior Form S-11 registration [Rule 462(b)],S-11MEF
Registration adding securities to prior Form S-1 registration [Rule 462(b)],S-1MEF
Registration of securities,S-2
For standardized options,S-20
Registration adding securities to prior Form S-2 registration [Rule 462(b)],S-2MEF
Registration statement under Securities Act of 1933,S-3
Automatic shelf registration statement of securities of well-known seasoned issuers,S-3ASR
"Registration of securities, dividend or interest reinvestment plans, immediately effective",S-3D
"Post-effective amendments, registration of securities, dividend or interest reinvestment plans, immediately effective",S-3DPOS
Registration adding securities to prior Form S-3 registration [Rule 462(b)],S-3MEF
"Registration of securities, business combinations",S-4
"Securities issued, formation of bank or savings and loan holding company [General Instruction G], post-effective amendments",S-4 POS
"Securities issued, formation of bank or savings and loan holding company [General Instruction G]",S-4EF
Registration adding securities to prior Form S-4 registration [Rule 462(b)],S-4MEF
Registration statement for unit investment trusts,S-6
Registration statements of unit investment trusts,S-6EL24
Securities to be offered to employees in employee benefit plans,S-8
"Securities to be offered to employees in employee benefit plans, post-effective amendments",S-8 POS
Registration statement for securities of Foreign Governments and Subdivisions,S-B
A new registration statement filed under Rule 462(b) to add securities to a prior related effective registration statement filed on Form S-B,S-BMEF
Optional form for registration of securities to be sold to the public by small business issuers,SB-1
Registration adding securities to prior Form SB-1 registration [Rule 462(b)],SB-1MEF
Optional form for registration of securities to be sold to the public by small business issuers,SB-2
Registration adding securities to prior Form SB-2 registration [Rule 462(b)],SB-2MEF
Application for Registration of Security-based Swap Dealers and Major Security-based Swap Participants,SBSE
Application for Registration of Security-based Swap Dealers and Major Security-based Swap Participants that are Registered or Registering with the Commodity Futures Trading Commission as a Swap Dealer or Major Swap Participant,SBSE-A
Application for Registration of Security-based Swap Dealers and Major Security-based Swap Participants that are Registered Broker-dealers,SBSE-BD
Certifications for Registration of Security-based Swap Dealers and Major Security-based Participants,SBSE-C
Request for Withdrawal from Registration as a Security-based Swap Dealer or Major Security-based Swap Participant,SBSE-W
Application for Registration of Security-based Swap Execution Facility,SBSEF
Request for Vacation of Registration,SBSEF-V
Request for Withdrawal of Application for Registration,SBSEF-W
Amendment to Application for Registration of Security-based Swap Execution Facility [Amend],SBSEF/A
General statement of acquisition of beneficial ownership,SC 13D
Statement of issuer required by Rule 13e-1,SC 13E1
Going private transaction by certain issuers,SC 13E3
Issuer tender offer statement.,SC 13E4
Statement of acquisition of beneficial ownership by individuals,SC 13G
Tender offer statement.,SC 14D1
"Solicitation, recommendation statements",SC 14D9
Statement regarding change in majority of directors [Rule 14f-1],SC 14F1
Information filed by certain nominating shareholders (pursuant to Section 240.14n-1),SC 14N
Solicitation in connection with the formation or attempted formation of a Rule 14a-11 nominating shareholder group or solicitation in connection with a Rule 14a-11 nomination,SC 14N-S
Written communication relating to an issuer or third party,SC TO-C
Tender offer statement by Issuer,SC TO-I
Tender offer statement by Third Party,SC TO-T
Canadian Foreign Private Issuer tender offer statement.,SC13E4F
Tender Offer Statement [Rule 14d-1(b)],SC14D1F
"Solicitation, recommendation statements",SC14D9
Written communication relating to third party tender offer,SC14D9C
Solicitation/Recommendation Statements,SC14D9F
Schedule filed to report acquisition of beneficial ownership of more than 5% of a class of equity securities,SCHEDULE 13D
Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities,SCHEDULE 13G
Specialized disclosure,SD
Security-Based Swap Data Repository Registration,SDR
[Annual Amend] Security-Based Swap Data Repository Registration,SDR-A
Security-Based Swap Data Repository Withdrawal,SDR-W
Exhibits,SE
SEC Action,SEC ACTION
SEC Staff Action,SEC STAFF ACTION
SEC Staff Letter,SEC STAFF LETTER
Registration statement,SF-1
Registration statement,SF-3
Weekly Form SH Entries Report Filed by Institutional Investment Managers,SH-ER
Weekly Form SH Notice Report Filed by Institutional Investment Managers,SH-NT
Sales Literature,SL
Special Financial Report [Rule 15d-2],SP 15D2
SEC Specialized Disclosure,SPDSCL
Stop Order,STOP ORDER
Voluntary Supplemental Material by Foreign Issuers [Section 11(a)],SUPPL
Application for qualification of trust indentures,T-3
Registration of Transfer Agent,TA-1
Annual disclosure filing made by all bank and non-bank Transfer Agents,TA-2
Transfer Agent Registration Withdrawal,TA-W
Cancellation of Registered Transfer Agents by Commission Order,TACO
Notification of reliance on temporary hardship exemption,TH
'Test The Waters' submission [Regulation A],TTW
Application or declaration under the act,U-1
Statement by holding company employee [Section 12(i)],U-12-IA
Three-year statement by holding company employee [Section 12(i)],U-12-IB
Application for approval of mutual service company [Rule 88],U-13-1
Annual report for mutual and subsidiary service companies [Rule 94],U-13-60
Report by affiliate or independent service companies [Rule 95],U-13E-1
Annual report Concerning Foreign Utility Companies [Section 33(e)],U-33-S
Statement by holding company claiming exemption [Rule 2],U-3A-2
